window_start_sec,window_end_sec,dominant_frequency_hz
0.0,3.999257871418389,2.5004639164349185
1.0018181040627228,5.001075975481112,2.000371133147935
2.0036362081254455,6.002894079543834,2.000371133147935
3.005454312188168,7.004712183606557,2.000371133147935
4.007272416250891,8.00653028766928,2.000371133147935
5.009090520313614,9.008348391732003,1.500278349860951
6.010908624376336,10.010166495794726,1.500278349860951
7.012726728439059,11.011984599857449,1.500278349860951
8.014544832501782,12.01380270392017,1.500278349860951
9.016362936564505,13.015620807982893,2.000371133147935
10.018181040627228,14.017438912045616,2.000371133147935
11.01999914468995,15.01925701610834,1.500278349860951
12.021817248752672,16.021075120171062,1.500278349860951
13.023635352815395,17.022893224233783,1.500278349860951
14.025453456878118,18.024711328296508,26.004824730923154
15.027271560940841,19.02652943235923,27.505103080784103
16.029089665003564,20.028347536421954,2.5004639164349185
17.030907769066285,21.030165640484675,2.5004639164349185
18.03272587312901,22.031983744547396,1.500278349860951
19.03454397719173,23.03380184861012,1.500278349860951
20.036362081254456,24.035619952672842,2.000371133147935
21.038180185317177,25.037438056735567,2.000371133147935
22.0399982893799,26.03925616079829,1.500278349860951
23.041816393442623,27.041074264861013,1.500278349860951
24.043634497505344,28.042892368923734,1.0001855665739674
